system,rate,throughput_tok_s,ttft_p50,ttft_p99
punica,1,32.964365631563076,N/A,N/A
punica,2,63.718984516863365,N/A,N/A
punica,3,94.45944173944974,N/A,N/A
punica,4,115.30425476702494,N/A,N/A
punica,5,147.93809123740147,N/A,N/A
punica,6,163.5007905834368,N/A,N/A
punica,7,215.5103642116948,N/A,N/A
punica,10,269.1119405998099,N/A,N/A
punica,15,372.61587708511183,N/A,N/A
punica,20,483.9641200800435,N/A,N/A
punica,30,655.7980257349884,N/A,N/A
punica,40,757.605952394692,N/A,N/A
punica,50,854.0710012858909,N/A,N/A
slora,1.0,221.96673026224562,174.2934364178218,491.94823363097385
slora,2.0,434.2635831949268,233.3205046914518,591.4201381173915
slora,3.0,631.0363334239132,715.5423891367391,5236.2064747465765
slora,4.0,718.448986286454,6990.609232288785,19405.131910771594
slora,5.0,729.0364595917923,16086.839377220254,40052.106928890564
slora,6.0,743.8833738046494,22557.159071214497,53981.84904911555
slora,7.0,749.6725982966566,27439.993584389333,64762.55584744271
slora,10.0,761.7528250216204,35337.285854826216,82439.50592551846
slora,15.0,767.499411444665,42135.79138660105,98157.49446206959
slora,20.0,768.1469011526733,46628.08530112635,107502.21644325415
slora,25.0,773.2382243706085,47817.2124053305,111466.60956123611
slora,30.0,772.7890722275514,49526.754305657,114916.14512558095
vllm,1.0,222.71332935933967,107.9438323280774,227.47890901984636
vllm,2.0,435.76610860605405,118.98013782547787,233.81580093409858
vllm,3.0,615.2136572944993,135.23278528545052,314.5226204209029
vllm,4.0,732.1686030940266,160.62170269759372,448.7949555250816
vllm,5.0,800.5643806461721,170.09358302969486,379.59643922280515
vllm,6.0,840.5229854927891,577.7118968851864,7166.224016977938
vllm,7.0,875.3963044163456,1557.8721120380796,17768.078726117965
vllm,10.0,909.9953568963906,4901.6255525248125,36726.43081552116
vllm,15.0,928.0196275765087,6558.349267296027,49221.29173708847
vllm,20.0,941.7270888052753,8373.194308200851,55841.792214224115
vllm,25.0,962.6127215001754,9501.67728718929,58409.787248861976
vllm,30.0,960.4922753952872,10853.536335574463,61637.893223578576
