N,K,unsorted_scan_us,sorted_boundary_us,speedup
64,2,19.17,14.974,1.28
64,4,11.94,10.594,1.13
64,8,13.013,9.917,1.31
64,16,12.175,11.013,1.11
128,2,18.729,12.382,1.51
128,4,17.209,12.471,1.38
128,8,16.142,14.013,1.15
128,16,16.203,14.907,1.09
256,2,25.545,18.544,1.38
256,4,25.758,19.042,1.35
256,8,25.003,19.528,1.28
256,16,25.685,22.204,1.16
512,2,45.749,35.468,1.29
512,4,43.38,35.452,1.22
512,8,43.57,35.513,1.23
512,16,43.084,36.223,1.19
1024,2,79.547,64.835,1.23
1024,4,80.234,63.919,1.26
1024,8,84.441,67.394,1.25
1024,16,79.776,84.274,0.95
2048,2,150.696,126.933,1.19
2048,4,151.998,125.843,1.21
2048,8,153.048,122.234,1.25
2048,16,155.233,124.173,1.25
