batch_id,condition,dispatch_time_ms,n_tokens,n_warps,n_adapters,war,wartau_ms,halign,min_tokens_per_adapter,max_tokens_per_adapter,sgmv_intensity_global,global_intensity
0,unknown,7034.416,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
1,unknown,7036.126,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
2,unknown,7037.448,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
3,unknown,7038.714,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
4,unknown,7039.967,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
5,unknown,7041.174,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
6,unknown,7042.371,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
7,unknown,7043.556,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
8,unknown,7044.742,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
9,unknown,7045.957,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
10,unknown,7047.144,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
11,unknown,7048.343,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
12,unknown,7049.572,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
13,unknown,7050.769,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
14,unknown,7051.962,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
15,unknown,7053.139,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
16,unknown,7054.303,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
17,unknown,7055.472,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0
18,unknown,7901.06,32,1,1,1.0,839.6744,0.0,32.0,32.0,32.0,32.0
19,unknown,7927.353,32,1,1,1.0,12.5579,0.0,32.0,32.0,32.0,32.0
20,unknown,7951.955,32,1,1,1.0,11.7363,0.0,32.0,32.0,32.0,32.0
21,unknown,7976.429,32,1,1,1.0,11.6712,0.0,32.0,32.0,32.0,32.0
22,unknown,8000.923,32,1,1,1.0,11.6786,0.0,32.0,32.0,32.0,32.0
23,unknown,8025.354,32,1,1,1.0,11.6492,0.0,32.0,32.0,32.0,32.0
24,unknown,8049.785,32,1,1,1.0,11.6423,0.0,32.0,32.0,32.0,32.0
25,unknown,8074.323,32,1,1,1.0,11.6966,0.0,32.0,32.0,32.0,32.0
26,unknown,8098.869,32,1,1,1.0,11.7001,0.0,32.0,32.0,32.0,32.0
27,unknown,8123.284,32,1,1,1.0,11.6395,0.0,32.0,32.0,32.0,32.0
28,unknown,8147.749,32,1,1,1.0,11.6557,0.0,32.0,32.0,32.0,32.0
29,unknown,8172.205,32,1,1,1.0,11.6521,0.0,32.0,32.0,32.0,32.0
