batch_idx,timestamp_s,war,gwar,promotion_fraction,n_star,n_tokens
0,0.0293,0.0,0.0,0.0,16,46
1,0.0586,0.0,0.0059,0.0059,16,54
2,0.0879,0.0,0.0111,0.0111,16,48
3,0.1172,0.0,0.016,0.016,16,53
4,0.1465,0.0,0.0264,0.0264,16,43
5,0.1758,0.0,0.0282,0.0282,16,59
6,0.2051,0.0,0.0395,0.0395,16,43
7,0.2344,0.0,0.0475,0.0475,16,59
8,0.2637,0.0,0.0,0.0,16,36
9,0.293,0.0,0.0407,0.0407,16,59
10,0.3223,0.0,0.0,0.0,16,46
11,0.3516,0.0,0.0575,0.0575,16,51
12,0.3809,0.0,0.0592,0.0592,16,71
13,0.4102,0.0,0.0604,0.0604,16,61
14,0.4395,0.0,0.0,0.0,16,70
15,0.4688,0.0,0.0,0.0,16,48
16,0.4981,0.0,0.0,0.0,16,36
17,0.5274,0.0,0.096,0.096,16,59
18,0.5567,0.0,0.0,0.0,16,42
19,0.586,0.0,0.1118,0.1118,16,51
20,0.6153,0.0,0.1111,0.1111,16,60
21,0.6446,0.0,0.1057,0.1057,16,53
22,0.6739,0.0,0.0,0.0,16,48
23,0.7032,0.0,0.0,0.0,16,59
24,0.7325,0.0,0.1212,0.1212,16,66
25,0.7618,0.0,0.119,0.119,16,56
26,0.7911,0.0,0.0,0.0,16,54
27,0.8204,0.0,0.1833,0.1833,16,54
28,0.8497,0.0,0.153,0.153,16,61
29,0.879,0.0,0.1681,0.1681,16,46
30,0.9083,0.0,0.0,0.0,16,49
31,0.9376,0.0,0.145,0.145,16,57
32,0.9669,0.0,0.1693,0.1693,16,63
33,0.9962,0.0,0.2146,0.2146,16,41
34,1.0255,0.0,0.0,0.0,16,51
35,1.0548,0.0,0.0,0.0,16,34
36,1.0841,0.0,0.1726,0.1726,16,73
37,1.1134,0.0,0.0,0.0,16,48
38,1.1427,0.0,0.0,0.0,16,48
39,1.172,0.0,0.2131,0.2131,16,61
40,1.2013,0.0,0.0,0.0,16,42
41,1.2306,0.0,0.0,0.0,16,55
42,1.2599,0.0,0.266,0.266,16,50
43,1.2892,0.0,0.267,0.267,16,51
44,1.3185,0.0,0.0,0.0,16,45
45,1.3478,0.0,0.0,0.0,16,43
46,1.3771,0.0,0.2683,0.2683,16,60
47,1.4064,0.0,0.2825,0.2825,16,61
48,1.4357,0.0,0.0,0.0,16,40
49,1.465,0.0,0.3341,0.3341,16,66
50,1.4943,0.0,0.2827,0.2827,16,56
51,1.5236,0.0,0.2331,0.2331,16,62
52,1.5529,0.0,0.3184,0.3184,16,49
53,1.5822,0.0,0.3533,0.3533,16,50
54,1.6115,0.0,0.0,0.0,16,41
55,1.6408,0.0,0.0,0.0,16,52
56,1.6701,0.0,0.0,0.0,16,45
57,1.6994,0.0,0.3524,0.3524,16,62
58,1.7287,0.0,0.457,0.457,16,55
59,1.758,0.0,0.356,0.356,16,58
60,1.7873,0.0,0.0,0.0,16,58
61,1.8166,0.0,0.0,0.0,16,52
62,1.8459,0.0,0.0,0.0,16,45
63,1.8752,0.0,0.0,0.0,16,44
64,1.9045,0.0,0.8613,0.7127,16,51
65,1.9338,0.0,0.0,0.0,16,42
66,1.9631,0.0,0.7361,0.6091,16,63
67,1.9924,0.0,0.7231,0.5984,16,54
68,2.0217,0.0,0.8964,0.7418,16,49
69,2.051,0.0,1.0,0.8656,16,42
70,2.0803,0.0,0.8588,0.7107,16,54
71,2.1096,0.0,0.0,0.0,16,47
72,2.1389,0.0,0.0,0.0,16,46
73,2.1682,0.0,0.6973,0.577,16,56
74,2.1975,0.0,1.0,0.872,16,44
75,2.2268,0.0,0.0,0.0,16,40
76,2.2561,0.0,0.0,0.0,16,45
77,2.2854,0.0,0.7602,0.6291,16,61
78,2.3147,0.0,0.8542,0.7068,16,60
79,2.344,0.0,0.8466,0.7006,16,49
80,2.3733,0.0,0.741,0.6131,16,56
81,2.4026,0.0,0.7873,0.6515,16,62
82,2.4319,0.0,0.0,0.0,16,47
83,2.4612,0.0,0.6619,0.5477,16,59
84,2.4905,0.0,0.0,0.0,16,47
85,2.5198,0.0,0.9318,0.771,16,55
86,2.5491,0.0,0.7844,0.6491,16,56
87,2.5784,0.0,0.0,0.0,16,49
88,2.6077,0.0,1.0,0.929,16,50
89,2.637,0.0,0.0,0.0,16,48
90,2.6663,0.0,0.7968,0.6594,16,49
91,2.6956,0.0,0.7844,0.6491,16,56
92,2.7249,0.0,0.0,0.0,16,46
93,2.7542,0.0,0.0,0.0,16,57
94,2.7835,0.0,0.0,0.0,16,43
95,2.8128,0.0,0.0,0.0,16,53
