iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
0,0.0,sinusoidal,PI_adaptive,0.806095,0.020929,-0.006095,-0.0,-7e-06,30.0,single_a6000,4,sinusoidal,0.998494
0,0.0,sinusoidal,Static_Tmax,0.779201,0.020936,0.020799,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
1,0.03,sinusoidal,PI_adaptive,0.814946,0.020911,-0.014946,-0.0,-1.8e-05,30.0,single_a6000,4,sinusoidal,0.998494
1,0.03,sinusoidal,Static_Tmax,0.819332,0.020936,-0.019332,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
2,0.06,sinusoidal,PI_adaptive,0.760004,0.020929,0.039996,0.0,4.8e-05,30.0,single_a6000,4,sinusoidal,0.998494
2,0.06,sinusoidal,Static_Tmax,0.774996,0.020936,0.025004,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
3,0.09,sinusoidal,PI_adaptive,0.803532,0.020924,-0.003532,0.0,-4e-06,30.0,single_a6000,4,sinusoidal,0.998494
3,0.09,sinusoidal,Static_Tmax,0.795233,0.020936,0.004767,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
4,0.12,sinusoidal,PI_adaptive,0.800823,0.020923,-0.000823,0.0,-1e-06,30.0,single_a6000,4,sinusoidal,0.998494
4,0.12,sinusoidal,Static_Tmax,0.785014,0.020936,0.014986,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
5,0.15,sinusoidal,PI_adaptive,0.819188,0.020905,-0.019188,-0.0,-2.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
5,0.15,sinusoidal,Static_Tmax,0.818146,0.020936,-0.018146,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
6,0.18,sinusoidal,PI_adaptive,0.802014,0.020903,-0.002014,-0.0,-2e-06,30.0,single_a6000,4,sinusoidal,0.998494
6,0.18,sinusoidal,Static_Tmax,0.825651,0.020936,-0.025651,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
7,0.21,sinusoidal,PI_adaptive,0.810368,0.02089,-0.010368,-0.0,-1.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
7,0.21,sinusoidal,Static_Tmax,0.786434,0.020936,0.013566,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
8,0.24,sinusoidal,PI_adaptive,0.807917,0.020881,-0.007917,-0.0,-1e-05,30.0,single_a6000,4,sinusoidal,0.998494
8,0.24,sinusoidal,Static_Tmax,0.784956,0.020936,0.015044,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
9,0.27,sinusoidal,PI_adaptive,0.817868,0.020863,-0.017868,-0.0,-2.2e-05,30.0,single_a6000,4,sinusoidal,0.998494
9,0.27,sinusoidal,Static_Tmax,0.803648,0.020936,-0.003648,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
10,0.3,sinusoidal,PI_adaptive,0.795683,0.020868,0.004317,-0.0,5e-06,30.0,single_a6000,4,sinusoidal,0.998494
10,0.3,sinusoidal,Static_Tmax,0.791539,0.020936,0.008461,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
11,0.33,sinusoidal,PI_adaptive,0.824759,0.02085,-0.024759,-0.0,-3e-05,30.0,single_a6000,4,sinusoidal,0.998494
11,0.33,sinusoidal,Static_Tmax,0.802578,0.020936,-0.002578,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
12,0.36,sinusoidal,PI_adaptive,0.790819,0.020861,0.009181,-0.0,1.1e-05,30.0,single_a6000,4,sinusoidal,0.998494
12,0.36,sinusoidal,Static_Tmax,0.799135,0.020936,0.000865,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
13,0.39,sinusoidal,PI_adaptive,0.811423,0.020847,-0.011423,-0.0,-1.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
