iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
0,0.0,stationary,PI_adaptive,0.806095,0.020929,-0.006095,-0.0,-7e-06,30.0,single_a6000,4,step,0.998494
0,0.0,stationary,Static_Tmax,0.779201,0.020936,0.020799,0.0,0.0,30.0,single_a6000,4,step,N/A
1,0.03,stationary,PI_adaptive,0.814425,0.020911,-0.014425,-0.0,-1.7e-05,30.0,single_a6000,4,step,0.998494
1,0.03,stationary,Static_Tmax,0.818812,0.020936,-0.018812,0.0,0.0,30.0,single_a6000,4,step,N/A
2,0.06,stationary,PI_adaptive,0.759007,0.020929,0.040993,0.0,5e-05,30.0,single_a6000,4,step,0.998494
2,0.06,stationary,Static_Tmax,0.773957,0.020936,0.026043,0.0,0.0,30.0,single_a6000,4,step,N/A
3,0.09,stationary,PI_adaptive,0.80202,0.020927,-0.00202,0.0,-2e-06,30.0,single_a6000,4,step,0.998494
3,0.09,stationary,Static_Tmax,0.793676,0.020936,0.006324,0.0,0.0,30.0,single_a6000,4,step,N/A
4,0.12,stationary,PI_adaptive,0.798936,0.020928,0.001064,0.0,1e-06,30.0,single_a6000,4,step,0.998494
4,0.12,stationary,Static_Tmax,0.78294,0.020936,0.01706,0.0,0.0,30.0,single_a6000,4,step,N/A
5,0.15,stationary,PI_adaptive,0.816965,0.02091,-0.016965,0.0,-2.1e-05,30.0,single_a6000,4,step,0.998494
5,0.15,stationary,Static_Tmax,0.815556,0.020936,-0.015556,0.0,0.0,30.0,single_a6000,4,step,N/A
6,0.18,stationary,PI_adaptive,0.799265,0.020911,0.000735,0.0,1e-06,30.0,single_a6000,4,step,0.998494
6,0.18,stationary,Static_Tmax,0.822545,0.020936,-0.022545,0.0,0.0,30.0,single_a6000,4,step,N/A
7,0.21,stationary,PI_adaptive,0.807366,0.020902,-0.007366,-0.0,-9e-06,30.0,single_a6000,4,step,0.998494
7,0.21,stationary,Static_Tmax,0.782815,0.020936,0.017185,0.0,0.0,30.0,single_a6000,4,step,N/A
8,0.24,stationary,PI_adaptive,0.80468,0.020896,-0.00468,-0.0,-6e-06,30.0,single_a6000,4,step,0.998494
8,0.24,stationary,Static_Tmax,0.780823,0.020936,0.019177,0.0,0.0,30.0,single_a6000,4,step,N/A
9,0.27,stationary,PI_adaptive,0.81442,0.020879,-0.01442,-0.0,-1.7e-05,30.0,single_a6000,4,step,0.998494
9,0.27,stationary,Static_Tmax,0.799002,0.020936,0.000998,0.0,0.0,30.0,single_a6000,4,step,N/A
10,0.3,stationary,PI_adaptive,0.791754,0.020889,0.008246,-0.0,1e-05,30.0,single_a6000,4,step,0.998494
10,0.3,stationary,Static_Tmax,0.786382,0.020936,0.013618,0.0,0.0,30.0,single_a6000,4,step,N/A
11,0.33,stationary,PI_adaptive,0.820699,0.020871,-0.020699,-0.0,-2.5e-05,30.0,single_a6000,4,step,0.998494
11,0.33,stationary,Static_Tmax,0.79691,0.020936,0.00309,0.0,0.0,30.0,single_a6000,4,step,N/A
12,0.36,stationary,PI_adaptive,0.786229,0.020887,0.013771,-0.0,1.7e-05,30.0,single_a6000,4,step,0.998494
12,0.36,stationary,Static_Tmax,0.792958,0.020936,0.007042,0.0,0.0,30.0,single_a6000,4,step,N/A
13,0.39,stationary,PI_adaptive,0.806776,0.020879,-0.006776,-0.0,-8e-06,30.0,single_a6000,4,step,0.998494
13,0.39,stationary,Static_Tmax,0.80731,0.020936,-0.00731,0.0,0.0,30.0,single_a6000,4,step,N/A
14,0.42,stationary,PI_adaptive,0.803723,0.020875,-0.003723,-0.0,-5e-06,30.0,single_a6000,4,step,0.998494
14,0.42,stationary,Static_Tmax,0.808617,0.020936,-0.008617,0.0,0.0,30.0,single_a6000,4,step,N/A
15,0.45,stationary,PI_adaptive,0.837935,0.020856,-0.037935,-0.0,-4.6e-05,30.0,single_a6000,4,step,0.998494
15,0.45,stationary,Static_Tmax,0.791872,0.020936,0.008128,0.0,0.0,30.0,single_a6000,4,step,N/A
16,0.48,stationary,PI_adaptive,0.783393,0.020874,0.016607,-0.0,2e-05,30.0,single_a6000,4,step,0.998494
16,0.48,stationary,Static_Tmax,0.783725,0.020936,0.016275,0.0,0.0,30.0,single_a6000,4,step,N/A
17,0.51,stationary,PI_adaptive,0.807403,0.020865,-0.007403,-0.0,-9e-06,30.0,single_a6000,4,step,0.998494
17,0.51,stationary,Static_Tmax,0.82258,0.020936,-0.02258,0.0,0.0,30.0,single_a6000,4,step,N/A
18,0.54,stationary,PI_adaptive,0.792075,0.020875,0.007925,-0.0,1e-05,30.0,single_a6000,4,step,0.998494
18,0.54,stationary,Static_Tmax,0.783198,0.020936,0.016802,0.0,0.0,30.0,single_a6000,4,step,N/A
19,0.57,stationary,PI_adaptive,0.778628,0.020893,0.021372,-0.0,2.6e-05,30.0,single_a6000,4,step,0.998494
19,0.57,stationary,Static_Tmax,0.813012,0.020936,-0.013012,0.0,0.0,30.0,single_a6000,4,step,N/A
20,0.6,stationary,PI_adaptive,0.811425,0.020879,-0.011425,-0.0,-1.4e-05,30.0,single_a6000,4,step,0.998494
20,0.6,stationary,Static_Tmax,0.810864,0.020936,-0.010864,0.0,0.0,30.0,single_a6000,4,step,N/A
21,0.63,stationary,PI_adaptive,0.782136,0.020897,0.017864,-0.0,2.2e-05,30.0,single_a6000,4,step,0.998494
21,0.63,stationary,Static_Tmax,0.804644,0.020936,-0.004644,0.0,0.0,30.0,single_a6000,4,step,N/A
22,0.66,stationary,PI_adaptive,0.799221,0.020898,0.000779,-0.0,1e-06,30.0,single_a6000,4,step,0.998494
22,0.66,stationary,Static_Tmax,0.804374,0.020936,-0.004374,0.0,0.0,30.0,single_a6000,4,step,N/A
23,0.69,stationary,PI_adaptive,0.814387,0.02088,-0.014387,-0.0,-1.7e-05,30.0,single_a6000,4,step,0.998494
23,0.69,stationary,Static_Tmax,0.804473,0.020936,-0.004473,0.0,0.0,30.0,single_a6000,4,step,N/A
24,0.72,stationary,PI_adaptive,0.809138,0.020869,-0.009138,-0.0,-1.1e-05,30.0,single_a6000,4,step,0.998494
24,0.72,stationary,Static_Tmax,0.801352,0.020936,-0.001352,0.0,0.0,30.0,single_a6000,4,step,N/A
25,0.75,stationary,PI_adaptive,0.800447,0.020869,-0.000447,-0.0,-1e-06,30.0,single_a6000,4,step,0.998494
25,0.75,stationary,Static_Tmax,0.812626,0.020936,-0.012626,0.0,0.0,30.0,single_a6000,4,step,N/A
26,0.78,stationary,PI_adaptive,0.765471,0.020887,0.034529,-0.0,4.2e-05,30.0,single_a6000,4,step,0.998494
26,0.78,stationary,Static_Tmax,0.793607,0.020936,0.006393,0.0,0.0,30.0,single_a6000,4,step,N/A
27,0.81,stationary,PI_adaptive,0.786653,0.020903,0.013347,-0.0,1.6e-05,30.0,single_a6000,4,step,0.998494
27,0.81,stationary,Static_Tmax,0.787223,0.020936,0.012777,0.0,0.0,30.0,single_a6000,4,step,N/A
28,0.84,stationary,PI_adaptive,0.791848,0.020913,0.008152,0.0,1e-05,30.0,single_a6000,4,step,0.998494
28,0.84,stationary,Static_Tmax,0.829899,0.020936,-0.029899,0.0,0.0,30.0,single_a6000,4,step,N/A
29,0.87,stationary,PI_adaptive,0.780821,0.020931,0.019179,0.0,2.3e-05,30.0,single_a6000,4,step,0.998494
29,0.87,stationary,Static_Tmax,0.819366,0.020936,-0.019366,0.0,0.0,30.0,single_a6000,4,step,N/A
30,0.9,stationary,PI_adaptive,0.765916,0.020949,0.034084,0.0,4.1e-05,30.0,single_a6000,4,step,0.998494
30,0.9,stationary,Static_Tmax,0.793303,0.020936,0.006697,0.0,0.0,30.0,single_a6000,4,step,N/A
31,0.93,stationary,PI_adaptive,0.804262,0.020944,-0.004262,0.0,-5e-06,30.0,single_a6000,4,step,0.998494
31,0.93,stationary,Static_Tmax,0.811725,0.020936,-0.011725,0.0,0.0,30.0,single_a6000,4,step,N/A
32,0.96,stationary,PI_adaptive,0.814833,0.020926,-0.014833,0.0,-1.8e-05,30.0,single_a6000,4,step,0.998494
32,0.96,stationary,Static_Tmax,0.815868,0.020936,-0.015868,0.0,0.0,30.0,single_a6000,4,step,N/A
33,0.99,stationary,PI_adaptive,0.792221,0.020935,0.007779,0.0,9e-06,30.0,single_a6000,4,step,0.998494
33,0.99,stationary,Static_Tmax,0.790754,0.020936,0.009246,0.0,0.0,30.0,single_a6000,4,step,N/A
34,1.02,stationary,PI_adaptive,0.817107,0.020917,-0.017107,0.0,-2.1e-05,30.0,single_a6000,4,step,0.998494
34,1.02,stationary,Static_Tmax,0.796175,0.020936,0.003825,0.0,0.0,30.0,single_a6000,4,step,N/A
35,1.05,stationary,PI_adaptive,0.773009,0.020936,0.026991,0.0,3.3e-05,30.0,single_a6000,4,step,0.998494
35,1.05,stationary,Static_Tmax,0.777335,0.020936,0.022665,0.0,0.0,30.0,single_a6000,4,step,N/A
36,1.08,stationary,PI_adaptive,0.781572,0.020954,0.018428,0.0,2.2e-05,30.0,single_a6000,4,step,0.998494
36,1.08,stationary,Static_Tmax,0.809944,0.020936,-0.009944,0.0,0.0,30.0,single_a6000,4,step,N/A
37,1.11,stationary,PI_adaptive,0.804243,0.020949,-0.004243,0.0,-5e-06,30.0,single_a6000,4,step,0.998494
37,1.11,stationary,Static_Tmax,0.81381,0.020936,-0.01381,0.0,0.0,30.0,single_a6000,4,step,N/A
38,1.14,stationary,PI_adaptive,0.792456,0.020958,0.007544,0.0,9e-06,30.0,single_a6000,4,step,0.998494
38,1.14,stationary,Static_Tmax,0.803171,0.020936,-0.003171,0.0,0.0,30.0,single_a6000,4,step,N/A
39,1.17,stationary,PI_adaptive,0.814243,0.020941,-0.014243,0.0,-1.7e-05,30.0,single_a6000,4,step,0.998494
39,1.17,stationary,Static_Tmax,0.793814,0.020936,0.006186,0.0,0.0,30.0,single_a6000,4,step,N/A
40,1.2,stationary,PI_adaptive,0.809518,0.020929,-0.009518,0.0,-1.2e-05,30.0,single_a6000,4,step,0.998494
40,1.2,stationary,Static_Tmax,0.786762,0.020936,0.013238,0.0,0.0,30.0,single_a6000,4,step,N/A
41,1.23,stationary,PI_adaptive,0.792219,0.020939,0.007781,0.0,9e-06,30.0,single_a6000,4,step,0.998494
41,1.23,stationary,Static_Tmax,0.792366,0.020936,0.007634,0.0,0.0,30.0,single_a6000,4,step,N/A
42,1.26,stationary,PI_adaptive,0.776318,0.020957,0.023682,0.0,2.9e-05,30.0,single_a6000,4,step,0.998494
42,1.26,stationary,Static_Tmax,0.80974,0.020936,-0.00974,0.0,0.0,30.0,single_a6000,4,step,N/A
43,1.29,stationary,PI_adaptive,0.792281,0.020967,0.007719,0.0,9e-06,30.0,single_a6000,4,step,0.998494
43,1.29,stationary,Static_Tmax,0.800251,0.020936,-0.000251,0.0,0.0,30.0,single_a6000,4,step,N/A
44,1.32,stationary,PI_adaptive,0.812031,0.020952,-0.012031,0.0,-1.5e-05,30.0,single_a6000,4,step,0.998494
44,1.32,stationary,Static_Tmax,0.808931,0.020936,-0.008931,0.0,0.0,30.0,single_a6000,4,step,N/A
