system,rate,tput_tok_s,gain_vs_vllm
vllm,1,155.9,1.0
vllm,3,336.4,1.0
vllm,5,481.0,1.0
vllm,7,608.7,1.0
vllm,10,781.3,1.0
vllm,15,810.2,0.97
punica,1,159.0,1.02
punica,3,346.5,1.03
punica,5,500.2,1.04
punica,7,634.3,1.042
punica,10,804.8,1.03
punica,15,843.6,1.01
slora,1,160.6,1.03
slora,3,349.8,1.04
slora,5,505.0,1.05
slora,7,641.6,1.054
slora,10,812.6,1.04
slora,15,851.9,1.02
dlora,1,157.5,1.01
dlora,3,343.1,1.02
dlora,5,495.4,1.03
dlora,7,623.3,1.024
dlora,10,797.0,1.02
dlora,15,835.2,1.0
aspp_c7,1,199.5,1.28
aspp_c7,3,474.3,1.41
aspp_c7,5,721.4,1.5
aspp_c7,7,918.5,1.509
aspp_c7,10,1156.4,1.48
aspp_c7,15,1177.7,1.41
